Unnamed: 0,Address,AreaName,Price ($),lat,lng
40985,"40 Jansusie Rd Toronto, ON",Rexdale,549900,43.730797,-79.57737
38648,"210 WESTBANK Trail Stoney Creek, ON",Hamilton,399900,43.198933,-79.789345
85080,"919 Crescent Road Fort Erie, ON",Fort Erie,274900,42.901085,-78.96077
27383,"25 DUFFERIN ROAD Perth, ON",Perth,719000,44.91214,-76.261528
43446,"245 Poetry Dr Vaughan, ON",Woodbridge,1498800,43.850571,-79.575966
31785,"22 Rothbury Rd Richmond Hill, ON",Richmond Hill,1588888,43.904556,-79.454498
6001,"#Ph01 - 15 Vicora Link Way Toronto, ON",Flemingdon Park,320000,43.710968,-79.325294
124697,"1462 Grand Boulevard Oakville, ON",Oakville,1399900,43.487606,-79.683731
124273,"9128 Hendershot Boulevard Niagara Falls, ON",Thorold,569900,43.089603,-79.152054
5797,"15 FERN AVE Toronto, ON",Roncesvalles Village,779000,43.645916,-79.441017
